,8.4,-31.1,48.9,,,183.2,13.9,,1017.1,
1936-01-01,-0.4,,1.0,0.5,,,,,,
1936-01-02,-3.0,,0.4,0.1,,,,,,
1936-01-03,-3.0,,-0.2,,,,,,,
1936-01-04,-1.2,,-0.2,,,,,,,
1936-01-05,-0.6,,0.5,,,,,,,
1936-01-06,-1.5,,2.0,0.3,,,,,,
1936-01-07,-2.3,,1.0,0.4,,,,,,
1936-01-08,-1.9,,-0.6,,,,,,,
1936-01-09,-1.8,,-1.0,1.5,,,,,,
1936-01-10,0.2,,1.2,5.5,,,,,,
1936-01-11,0.3,,2.2,1.2,,,,,,
1936-01-12,0.9,,1.8,1.9,,,,,,
1936-01-13,0.3,,1.3,0.8,,,,,,
1936-01-14,-1.3,,-0.3,0.6,,,,,,
1936-01-15,-3.1,,-0.2,0.3,,,,,,
1936-01-16,-4.0,,-0.2,1.6,,,,,,
1936-01-17,-6.2,,-3.4,,,,,,,
1936-01-18,-8.6,,-6.5,,,,,,,
1936-01-19,-2.5,,-0.3,,,,,,,
1936-01-20,-1.5,,-0.5,1.1,,,,,,
1936-01-21,0.4,,1.5,0.7,,,,,,
1936-01-22,0.9,,4.3,4.8,,,,,,
1936-01-23,2.5,,5.5,0.5,,,,,,
1936-01-24,3.0,,5.6,2.3,,,,,,
1936-01-25,0.5,,1.8,,,,,,,
1936-01-26,-0.1,,4.7,,,,,,,
1936-01-27,-1.9,,4.3,2.4,,,,,,
1936-01-28,1.0,,2.2,2.4,,,,,,
1936-01-29,1.3,,2.5,0.9,,,,,,
1936-01-30,-6.0,,1.2,1.1,,,,,,
1936-01-31,-14.4,,-11.0,,,,,,,
1936-02-01,-14.2,-17.4,-10.5,,,,,,,
1936-02-02,-7.0,-10.5,-4.1,0.4,,,,,,
1936-02-03,-0.1,-4.2,2.2,0.5,,,,,,
1936-02-04,2.1,0.8,4.0,2.5,,,,,,
1936-02-05,-0.2,-0.6,0.8,,,,,,,
1936-02-06,-0.2,-0.4,0.8,2.9,,,,,,
1936-02-07,-1.2,-1.7,0.4,3.4,,,,,,
1936-02-08,-3.9,-5.2,-0.8,,,,,,,
1936-02-09,-3.5,-5.9,-0.5,,,,,,,
1936-02-10,-5.4,-12.5,-0.7,1.6,,,,,,
1936-02-11,-17.4,-19.9,-12.5,,,,,,,
1936-02-12,-16.1,-17.9,-14.3,,,,,,,
1936-02-13,-13.3,-15.7,-8.6,0.1,,,,,,
1936-02-14,-7.9,-12.4,-5.8,0.4,,,,,,
1936-02-15,-12.6,-15.5,-7.8,0.1,,,,,,
1936-02-16,-14.0,-15.3,-11.6,0.1,,,,,,
1936-02-17,-15.8,-19.5,-10.5,,,,,,,
1936-02-18,-13.8,-18.3,-7.4,,,,,,,
1936-02-19,-12.9,-14.8,-8.8,,,,,,,
1936-02-20,-13.0,-15.5,-9.1,0.2,,,,,,
1936-02-21,-13.6,-17.1,-7.9,,,,,,,
1936-02-22,-7.8,-10.4,-6.0,0.4,,,,,,
1936-02-23,-8.2,-9.0,-6.0,,,,,,,
1936-02-24,-8.9,-9.7,-7.0,,,,,,,
1936-02-25,-9.5,-13.4,-4.3,,,,,,,
1936-02-26,-8.7,-12.3,-5.5,0.1,,,,,,
1936-02-27,-5.7,-9.0,-3.6,0.1,,,,,,
1936-02-28,-1.1,-3.7,0.5,0.1,,,,,,
1936-02-29,0.3,-0.7,2.2,0.2,,,,,,
1936-03-01,1.4,0.1,3.2,1.3,,,,,,
1936-03-02,0.1,-0.2,1.4,0.6,,,,,,
1936-03-03,0.8,0.1,2.0,,,,,,,
1936-03-04,2.7,0.6,5.2,,,,,,,
1936-03-05,1.2,-0.6,4.4,,,,,,,
1936-03-06,0.9,-0.6,5.1,,,,,,,
1936-03-07,-0.5,-2.0,2.0,,,,,,,
1936-03-08,-1.9,-4.7,1.9,,,,,,,
1936-03-09,-1.6,-3.8,2.6,,,,,,,
1936-03-10,-0.5,-2.8,3.4,,,,,,,
1936-03-11,0.1,-1.0,2.0,,,,,,,
1936-03-12,1.4,0.2,4.2,,,,,,,
1936-03-13,3.2,0.5,8.8,,,,,,,
1936-03-14,2.6,0.4,7.4,,,,,,,
1936-03-15,2.7,1.1,6.1,,,,,,,
1936-03-16,,-0.3,2.7,6.6,,,,,,
1936-03-17,1.1,-0.4,5.0,0.4,,,,,,
1936-03-18,1.8,,5.2,0.3,,,,,,
1936-03-19,1.8,-1.2,5.6,,,,,,,
1936-03-20,2.9,0.6,6.2,0.1,,,,,,
1936-03-21,-0.1,-3.2,3.6,,,,,,,
1936-03-22,1.1,-1.4,7.2,,,,,,,
1936-03-23,4.1,0.7,10.7,,,,,,,
1936-03-24,5.8,2.3,12.7,,,,,,,
1936-03-25,-2.0,-3.5,5.8,,,,,,,
1936-03-26,-3.2,-6.0,1.7,,,,,,,
1936-03-27,-1.3,-2.9,1.2,,,,,,,
1936-03-28,-1.4,-2.4,1.0,0.9,,,,,,
1936-03-29,-3.4,-5.5,-0.2,,,,,,,
1936-03-30,-1.8,-5.2,2.6,,,,,,,
1936-03-31,-1.6,-4.5,5.0,,,,,,,
1936-04-01,0.5,-2.7,7.0,,,,,,,
1936-04-02,2.6,-2.2,10.6,,,,,,,
1936-04-03,4.7,0.4,11.7,,,,,,,
1936-04-04,6.0,5.5,8.5,4.3,,,,,,
1936-04-05,1.9,-0.6,5.7,0.2,,,,,,
1936-04-06,-0.4,-1.6,2.8,,,,,,,
1936-04-07,0.2,-3.2,6.7,,,,,,,
1936-04-08,1.7,-0.8,5.6,3.6,,,,,,
1936-04-09,-0.8,-2.6,3.0,4.7,,,,,,
1936-04-10,3.8,1.2,7.9,,,,,,,
1936-04-11,3.0,-1.1,8.4,,,,,,,
1936-04-12,5.4,2.6,11.0,,,,,,,
1936-04-13,3.1,1.0,6.4,5.8,,,,,,
1936-04-14,4.0,1.0,7.8,12.1,,,,,,
1936-04-15,5.8,2.8,11.3,0.4,,,,,,
1936-04-16,7.2,2.4,16.0,0.1,,,,,,
1936-04-17,5.3,3.4,10.4,,,,,,,
1936-04-18,9.3,2.7,17.2,,,,,,,
1936-04-19,10.4,7.4,15.5,,,,,,,
1936-04-20,8.4,6.8,12.0,7.6,,,,,,
1936-04-21,7.0,4.3,11.5,2.8,,,,,,
1936-04-22,9.5,4.8,16.3,,,,,,,
1936-04-23,8.6,6.4,12.0,3.5,,,,,,
1936-04-24,10.6,7.8,14.8,,,,,,,
1936-04-25,11.3,8.2,16.8,,,,,,,
1936-04-26,13.6,10.1,19.8,,,,,,,
1936-04-27,14.4,11.4,18.8,,,,,,,
1936-04-28,16.6,13.2,22.7,,,,,,,
1936-04-29,17.9,15.0,24.5,,,,,,,
1936-04-30,17.0,13.5,21.9,,,,,,,
1936-05-01,15.8,12.0,21.3,,,,,,,
1936-05-02,13.3,9.5,19.5,,,,,,,
1936-05-03,14.7,9.1,22.8,,,,,,,
1936-05-04,16.4,10.4,24.2,,,,,,,
1936-05-05,16.4,10.2,25.9,,,,,,,
1936-05-06,11.6,9.4,17.7,,,,,,,
1936-05-07,11.2,6.5,17.5,,,,,,,
1936-05-08,10.3,4.2,16.4,,,,,,,
1936-05-09,12.6,6.4,19.2,,,,,,,
1936-05-10,14.8,8.6,22.3,,,,,,,
1936-05-11,15.6,9.0,23.6,,,,,,,
1936-05-12,17.3,11.3,24.1,,,,,,,
1936-05-13,17.4,11.0,24.2,,,,,,,
1936-05-14,19.3,12.8,26.0,,,,,,,
1936-05-15,18.6,15.0,26.5,,,,,,,
1936-05-16,6.6,4.6,18.8,8.2,,,,,,
1936-05-17,7.8,3.0,14.5,,,,,,,
1936-05-18,10.2,3.8,18.4,,,,,,,
1936-05-19,12.2,7.2,18.6,,,,,,,
1936-05-20,14.6,11.4,20.9,,,,,,,
1936-05-21,15.0,8.8,21.8,,,,,,,
1936-05-22,15.1,9.4,22.1,,,,,,,
1936-05-23,18.0,12.8,24.7,,,,,,,
1936-05-24,19.4,12.6,26.5,,,,,,,
1936-05-25,20.8,14.3,27.9,,,,,,,
1936-05-26,21.6,16.7,28.1,,,,,,,
1936-05-27,19.8,14.2,26.3,,,,,,,
1936-05-28,19.4,12.2,26.9,,,,,,,
1936-05-29,19.8,16.8,26.8,0.6,,,,,,
1936-05-30,18.7,15.7,25.6,0.5,,,,,,
1936-05-31,19.5,16.2,26.8,9.8,,,,,,
1936-06-01,21.0,14.4,29.8,4.7,,,,,,
1936-06-02,22.3,16.4,30.4,,,,,,,
1936-06-03,19.4,15.1,25.6,,,,,,,
1936-06-04,15.1,12.5,18.0,,,,,,,
1936-06-05,17.9,12.8,23.3,,,,,,,
1936-06-06,19.3,13.1,26.5,2.4,,,,,,
1936-06-07,16.6,13.9,19.8,28.0,,,,,,
1936-06-08,16.6,11.3,21.7,1.2,,,,,,
1936-06-09,17.7,13.5,21.4,9.9,,,,,,
1936-06-10,18.9,15.4,23.4,6.0,,,,,,
1936-06-11,18.9,15.2,23.5,,,,,,,
1936-06-12,21.4,14.1,26.9,,,,,,,
1936-06-13,21.8,14.7,28.8,,,,,,,
1936-06-14,20.5,13.9,27.4,5.0,,,,,,
1936-06-15,21.4,14.6,28.1,,,,,,,
1936-06-16,21.2,14.4,27.7,,,,,,,
1936-06-17,20.4,16.1,24.3,0.6,,,,,,
1936-06-18,20.6,16.2,27.3,25.0,,,,,,
1936-06-19,17.8,15.4,21.5,14.9,,,,,,
1936-06-20,19.9,14.9,24.4,2.5,,,,,,
1936-06-21,20.8,15.5,26.4,,,,,,,
1936-06-22,23.6,16.4,28.7,,,,,,,
1936-06-23,20.2,17.5,27.1,0.2,,,,,,
1936-06-24,20.8,14.6,26.8,,,,,,,
1936-06-25,21.6,14.3,27.8,,,,,,,
1936-06-26,22.3,16.5,29.5,,,,,,,
1936-06-27,23.4,17.3,28.8,,,,,,,
1936-06-28,22.0,15.4,28.7,1.2,,,,,,
1936-06-29,20.2,13.2,26.1,,,,,,,
1936-06-30,18.2,11.0,23.8,,,,,,,
1936-07-01,20.6,9.7,26.9,,,,,,,
1936-07-02,22.7,11.6,30.0,,,,,,,
1936-07-03,25.4,14.4,31.8,,,,,,,
1936-07-04,25.7,16.1,32.7,,,,,,,
1936-07-05,25.7,14.3,34.5,,,,,,,
1936-07-06,27.5,21.4,34.4,,,,,,,
1936-07-07,23.2,21.5,30.4,,,,,,,
1936-07-08,21.2,16.2,28.7,0.5,,,,,,
1936-07-09,22.4,15.1,28.5,,,,,,,
1936-07-10,22.6,16.5,28.6,0.6,,,,,,
1936-07-11,24.1,17.5,30.2,7.0,,,,,,
1936-07-12,26.2,18.9,32.8,,,,,,,
1936-07-13,27.2,20.5,33.4,,,,,,,
1936-07-14,24.6,20.4,30.3,,,,,,,
1936-07-15,22.8,17.4,31.1,14.6,,,,,,
